layer,tap,view,dims,auroc,sd,acc,epochs,secs,batch
embed all,embed,all,1024,0.7872561576692477,0.0033799000380446997,0.7698959162509756,31.4,843.024496793747,512
enc0.attn all,enc0.attn,all,1024,0.8713895659661242,0.002507262541042567,0.8156568512465647,23.4,774.2981085777283,512
enc0.ffn all,enc0.ffn,all,1024,0.8770949757418587,0.001474468506564902,0.8195087535460692,24.4,1045.6899282932281,512
enc1.attn all,enc1.attn,all,1024,0.9146314697770201,0.0026917096469176475,0.8521310859349283,22.2,736.3936784267426,512
enc1.ffn all,enc1.ffn,all,1024,0.9131247965345167,0.00085404471514402,0.8507459817408203,21.2,679.8063514232635,512
enc2.attn all,enc2.attn,all,1024,0.925184145543404,0.0007600423557627021,0.8636603393079347,20.8,643.3866033554077,512
enc2.ffn all,enc2.ffn,all,1024,0.9214680542395334,0.0018998412472637845,0.8613980397405545,20.4,674.3926410675049,512
enc3.attn all,enc3.attn,all,1024,0.9387865920147378,0.0009640589674711854,0.8781313217748925,21.8,699.8833177089691,512
enc3.ffn all,enc3.ffn,all,1024,0.9373920043904448,0.0007167332399526879,0.8758821689227597,21.0,685.28302693367,512
enc4.attn all,enc4.attn,all,1024,0.9421432363643036,0.0008450191817718485,0.8823195895673763,21.2,654.412163734436,512
enc4.ffn all,enc4.ffn,all,1024,0.9407618298574338,0.001822212005631338,0.8801166254312888,21.4,687.6568939685822,512
enc5.attn all,enc5.attn,all,1024,0.9418763641941519,0.0007454715155490806,0.8815280776535112,19.8,627.1985790729523,512
enc5.ffn all,enc5.ffn,all,1024,0.9406144197188017,0.002092317400337076,0.8799517145178438,20.4,644.7415149211884,512
enc6.attn all,enc6.attn,all,1024,0.9430283577921434,0.000595521678411329,0.8835859348031381,20.6,633.760379076004,512
enc6.ffn all,enc6.ffn,all,1024,0.9418165223163719,0.0019037936911030613,0.8827416794135974,20.8,645.0404472351074,512
enc7.attn all,enc7.attn,all,1024,0.9429105365059336,0.0008202823299307673,0.8827812655155259,20.6,646.7056879997253,512
enc7.ffn all,enc7.ffn,all,1024,0.939021651870212,0.0017366717939668428,0.8803672409036196,19.6,596.2485678195953,512
enc8.attn all,enc8.attn,all,1024,0.9448134983907328,0.001044861131316969,0.8869959030881638,21.0,451.156619310379,512
enc8.ffn all,enc8.ffn,all,1024,0.9395945238089807,0.0012065649939583742,0.8815083137502804,19.0,363.4697437286377,512
enc9.attn all,enc9.attn,all,1024,0.941956341534674,0.0013497216890683823,0.8838036202976749,19.8,605.8888988494873,512
enc9.ffn all,enc9.ffn,all,1024,0.9255443724344676,0.0005894069661764627,0.8663052339781746,21.4,307.4048840999603,512
embed pin,embed,pin,768,0.739769743957932,0.003880393857213909,0.754072833307118,27.4,952.9066805839539,512
enc2.ffn pin,enc2.ffn,pin,768,0.9217138675248172,0.0010269353388993674,0.8603229377848836,23.4,631.448653459549,512
enc5.ffn pin,enc5.ffn,pin,768,0.9417316573083218,0.0015473621977596073,0.8826032013612218,21.8,583.6836974620819,512
enc9.ffn pin,enc9.ffn,pin,768,0.9268349270780609,0.0014929522645924975,0.8695371130940506,21.0,573.8417840003967,512
embed mean,embed,mean,256,0.7249074447474249,0.003552324475744912,0.7410397380986559,39.6,850.2510526180267,512
enc2.ffn mean,enc2.ffn,mean,256,0.8414191841616585,0.002569335329778736,0.7974461441413307,27.0,455.3028132915497,512
enc5.ffn mean,enc5.ffn,mean,256,0.861629413641262,0.0025002318891539587,0.813645179767698,23.2,371.8893189430237,512
enc9.ffn mean,enc9.ffn,mean,256,0.8338492580823924,0.0005782785942677551,0.8041671637460895,27.0,458.0830075740814,512
input,input,input,774,0.782699940813171,0.002073594342641823,0.7660968185503778,20.6,246.30768132209778,512
