layer,dims,auroc,sd,acc,epochs,secs,batch,source,note
acc,2048,0.8207899545851332,0.0014010712642346203,0.7822298972070605,20.2,399.43511033058167,512,"perspective.py, 2026-09-02","accumulator, both perspectives: sum of active HalfKA weight columns + bias"
tacc,2048,0.8303012116165774,0.0034587970421522175,0.790342584466373,24.0,527.8904159069061,512,"perspective.py, 2026-09-02","threat accumulator, both perspectives: same, over the FullThreats features"
acc||tacc,4096,0.838897272654085,0.0020008596231736214,0.7958895588302,20.2,1333.8319115638733,512,"perspective.py, 2026-09-02","concatenation, both perspectives — the full pre-nonlinearity state"
l1,1024,0.8163817164453249,0.004337898082476511,0.7870381081356669,18.2,225.68369030952454,512,"probe_mlp.ipynb sweep, 2026-09-01","clip(acc+tacc), then pairwise product /512 — first nonlinearity"
fc0,16,0.6559126580250849,0.0015451097201704916,0.7261070827288342,28.0,119.08701467514038,512,"probe_mlp.ipynb sweep, 2026-09-01",affine on l1; the 16-dim bottleneck (index 15 is the skip term)
ac0,30,0.6395732205974735,0.007118285946817309,0.7239766910102515,23.0,94.65305972099304,512,"probe_mlp.ipynb sweep, 2026-09-01",ac_sqr_0 || ac_0 — squared-clipped and clipped ReLU
fc1,32,0.6332910018205509,0.0062233622535562,0.7221364871621431,31.2,130.6202757358551,512,"probe_mlp.ipynb sweep, 2026-09-01",affine on ac0
ac1,32,0.5964854773749521,0.008437297638108065,0.7183769335820372,24.8,106.6662244796753,512,"probe_mlp.ipynb sweep, 2026-09-01",clipped ReLU
fc2,1,0.5257297849295345,0.004826970948970259,0.7152175920804026,17.0,53.098533630371094,512,"probe_mlp.ipynb sweep, 2026-09-01",affine to the scalar eval
input,204768,0.795138767720387,0.0046551950883807185,0.7707533572919144,20.4,3322.531989812851,8192,"probe_mlp.ipynb sweep, 2026-09-01",raw sparse board encoding (not a layer)
l1 @ batch 8192,1024,0.8137340712810397,0.001339144951969166,0.7841953995467176,24.8,192.13135480880737,8192,"probe_mlp.ipynb sweep, 2026-09-01",control: same batch as the input run
acc @ stm,1024,0.7600618841123797,0.0022942631615984637,0.7520545409424209,20.2,290.0138065814972,512,"probe_mlp.ipynb sweep, 2026-09-01","side-to-move perspective only — the first pass, kept as a control"
tacc @ stm,1024,0.7875398703568155,0.0017941905678733178,0.7687944349442533,18.2,273.58190178871155,512,"probe_mlp.ipynb sweep, 2026-09-01","side-to-move perspective only — the first pass, kept as a control"
acc||tacc @ stm,2048,0.7938687017173924,0.002347860886667506,0.769084659358154,18.6,435.732647895813,512,"probe_mlp.ipynb sweep, 2026-09-01","side-to-move perspective only — the first pass, kept as a control"
